searchTerm,title,description,canonical,promotionalText,delete
aspirador,Aspirador,"Compre aspirador em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/aspirador,<h2>Aspirador</h2>Encontre em Sodimac Brasil as melhores ofertas em aspirador. Compre Online as melhores marcas de aspirador que você está procurando.<br><br>Humboldt<br>Britânia<br>Ipc<br>Tekna<br>Makita<br>Ipc Brasil<br>Stanley<br>Autostyle<br>Black&decker<br>Bosch<br><br>Temos aspirador nas principais cidades do Brasil.,false
plaina,Plaina,"Compre plaina em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/plaina,<h2>Plaina</h2>Encontre em Sodimac Brasil as melhores ofertas em plaina. Compre Online as melhores marcas de plaina que você está procurando.<br><br>Dewalt<br>Stanley<br>Black&decker<br>Makita<br>Motomil<br>Worker<br>Cortag<br>Dremel<br>Foxmix<br>Momfort<br><br>Temos plaina nas principais cidades do Brasil.,false
arruda,Arruda,"Compre arruda em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/arruda,<h2>Arruda</h2>Encontre em Sodimac Brasil as melhores ofertas em arruda. Compre Online as melhores marcas de arruda que você está procurando.<br><br>Timlog<br>Tigre Conexões<br>Topseed Garden<br><br>Temos arruda nas principais cidades do Brasil.,false
bide,Bide,"Compre bide em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/bide,<h2>Bide</h2>Encontre em Sodimac Brasil as melhores ofertas em bide. Compre Online as melhores marcas de bide que você está procurando.<br><br>Deca<br>Celite<br>Roca<br>Biobidet<br>Blukit<br>Incepa Louças<br>Lorenzetti<br><br>Temos bide nas principais cidades do Brasil.,false
gesso,Gesso,"Compre gesso em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/gesso,<h2>Gesso</h2>Encontre em Sodimac Brasil as melhores ofertas em gesso. Compre Online as melhores marcas de gesso que você está procurando.<br><br>Suvinil<br>Qualyvinil<br>Foxmix<br>Coral<br>Santa Luzia<br>Topex<br>Adere<br>Atlas<br>Momfort<br>Tekbond<br><br>Temos gesso nas principais cidades do Brasil.,false
almofada,Almofada,"Compre almofada em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/almofada,<h2>Almofada</h2>Encontre em Sodimac Brasil as melhores ofertas em almofada. Compre Online as melhores marcas de almofada que você está procurando.<br><br>Just Home Collection<br>Hedrons Home Wear<br>Astra<br>Belchior<br>Homy<br>Esel<br>Autostyle<br>Bestway<br>Ergo<br>Klimber<br><br>Temos almofada nas principais cidades do Brasil.,false
calacata,Calacata,"Compre calacata em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/calacata,<h2>Calacata</h2>Encontre em Sodimac Brasil as melhores ofertas em calacata. Compre Online as melhores marcas de calacata que você está procurando.<br><br>Incepa<br>Biancogres<br>Incopisos<br>Incesa<br>Portinari<br>Holztek<br>Roca<br>Ceusa<br>Delta<br>Formigres<br><br>Temos calacata nas principais cidades do Brasil.,false
disjuntor,Disjuntor,"Compre disjuntor em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/disjuntor,<h2>Disjuntor</h2>Encontre em Sodimac Brasil as melhores ofertas em disjuntor. Compre Online as melhores marcas de disjuntor que você está procurando.<br><br>Steck<br>Tramontina<br>Schneider<br>Soprano<br>Halux<br>Schneider Eletric<br>Tigre<br>Zagonel<br>Corona<br>Amanco<br><br>Temos disjuntor nas principais cidades do Brasil.,false
alicate,Alicate,"Compre alicate em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/alicate,<h2>Alicate</h2>Encontre em Sodimac Brasil as melhores ofertas em alicate. Compre Online as melhores marcas de alicate que você está procurando.<br><br>Tramontina<br>Ubermann<br>Redline<br>Irwin<br>Karson<br>Mtx<br>Worker<br>Dualcomp<br>Bauker<br>Minipa<br><br>Temos alicate nas principais cidades do Brasil.,false
broca-quadrada,Broca Quadrada,"Compre broca quadrada em sodimac.com.br. Encontre produtos das melhores marcas para a sua casa ou reforma, os melhores preços estão na Sodimac - Homecenter",https://www.sodimac.com.br/sodimac-br/k/broca-quadrada,<h2>Broca quadrada</h2>Encontre em Sodimac Brasil as melhores ofertas em broca quadrada. Compre Online as melhores marcas de broca quadrada que você está procurando.<br><br>Bosch<br>Bauker<br>Irwin<br>Ubermann<br>Mtx<br>Tramontina<br>Stanley<br>Makita<br>Foxmix<br>Deca<br><br>Temos broca quadrada nas principais cidades do Brasil.,false
